name,unit,date,value,desc,doc
C.02,20,11/01/2015,94.4,"Alcohol beverages, tobacco and narcotics",
C.02,20,12/01/2015,94.4,"Alcohol beverages, tobacco and narcotics",
C.02,20,01/01/2016,94.6,"Alcohol beverages, tobacco and narcotics",
C.02,20,02/01/2016,94.6,"Alcohol beverages, tobacco and narcotics",
C.02,20,03/01/2016,95.1,"Alcohol beverages, tobacco and narcotics",
C.02,20,04/01/2016,97.6,"Alcohol beverages, tobacco and narcotics",
C.02,20,05/01/2016,96.1,"Alcohol beverages, tobacco and narcotics",
C.02,20,06/01/2016,96.4,"Alcohol beverages, tobacco and narcotics",
C.02,20,07/01/2016,96.6,"Alcohol beverages, tobacco and narcotics",
C.02,20,08/01/2016,96.8,"Alcohol beverages, tobacco and narcotics",
C.02,20,09/01/2016,96.8,"Alcohol beverages, tobacco and narcotics",
C.02,20,10/01/2016,98.8,"Alcohol beverages, tobacco and narcotics",
C.02,20,11/01/2016,99.5,"Alcohol beverages, tobacco and narcotics",
C.02,20,12/01/2016,99.5,"Alcohol beverages, tobacco and narcotics",
C.02,20,01/01/2017,99.4,"Alcohol beverages, tobacco and narcotics",
C.02,20,02/01/2017,99.6,"Alcohol beverages, tobacco and narcotics",
C.02,20,03/01/2017,100.0,"Alcohol beverages, tobacco and narcotics",
C.02,20,04/01/2017,101.2,"Alcohol beverages, tobacco and narcotics",
C.02,20,05/01/2017,103.0,"Alcohol beverages, tobacco and narcotics",
C.02,20,06/01/2017,103.2,"Alcohol beverages, tobacco and narcotics",
C.02,20,07/01/2017,103.7,"Alcohol beverages, tobacco and narcotics",
C.02,20,08/01/2017,104.6,"Alcohol beverages, tobacco and narcotics",
C.02,20,09/01/2017,104.9,"Alcohol beverages, tobacco and narcotics",
C.02,20,10/01/2017,105.3,"Alcohol beverages, tobacco and narcotics",
C.02,20,11/01/2017,105.5,"Alcohol beverages, tobacco and narcotics",
C.02,20,12/01/2017,105.4,"Alcohol beverages, tobacco and narcotics",
C.02,20,01/01/2018,105.8,"Alcohol beverages, tobacco and narcotics",
C.02,20,02/01/2018,105.8,"Alcohol beverages, tobacco and narcotics",
C.02,20,03/01/2018,105.7,"Alcohol beverages, tobacco and narcotics",
C.02,20,04/01/2018,105.9,"Alcohol beverages, tobacco and narcotics",
C.02,20,05/01/2018,105.9,"Alcohol beverages, tobacco and narcotics",
C.02,20,06/01/2018,107.0,"Alcohol beverages, tobacco and narcotics",
C.02,20,07/01/2018,107.2,"Alcohol beverages, tobacco and narcotics",
C.02,20,08/01/2018,107.6,"Alcohol beverages, tobacco and narcotics",
C.02,20,09/01/2018,108.0,"Alcohol beverages, tobacco and narcotics",
C.03,20,01/01/2013,75.3,Clothing and footware,
C.03,20,02/01/2013,75.1,Clothing and footware,
C.03,20,03/01/2013,75.2,Clothing and footware,
C.03,20,04/01/2013,75.5,Clothing and footware,
